
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,Set 1,TrackID,ID,
5.91315,,Spot,3,Untracked,1000006089,6283,
8.29732,,Spot,3,Untracked,1000006091,6284,
6.30567,,Spot,3,Untracked,1000006093,6285,
6.6897,,Spot,3,Untracked,1000000433,6286,
3.20157,,Spot,3,Untracked,1000006097,6287,
8.91675,,Spot,3,Untracked,1000000360,6288,
0,,Spot,3,Untracked,1000006289,6289,
10.7148,,Spot,3,Untracked,1000000452,6290,
12.2293,,Spot,3,Untracked,1000000488,6291,
1.41995,,Spot,3,Tracked,1000003140,6292,
4.33724,,Spot,3,Tracked,1000003149,6293,
3.24707,,Spot,3,Tracked,1000003158,6294,
4.77425,,Spot,3,Tracked,1000003167,6295,
2.81704,,Spot,3,Tracked,1000003176,6296,
0.745178,,Spot,3,Tracked,1000003185,6297,
2.13714,,Spot,3,Tracked,1000003194,6298,
6.23021,,Spot,3,Tracked,1000003203,6299,
4.00798,,Spot,3,Tracked,1000003212,6300,
0,,Spot,3,Tracked,1000003221,6301,
3.58434,,Spot,3,Tracked,1000003230,6302,
3.54765,,Spot,3,Tracked,1000003239,6303,
4.32064,,Spot,3,Tracked,1000003248,6304,
4.87408,,Spot,3,Tracked,1000003266,6305,
9.67248,,Spot,3,Tracked,1000003275,6306,
12.677,,Spot,3,Tracked,1000003284,6307,
6.94504,,Spot,3,Tracked,1000003293,6308,
10.631,,Spot,3,Tracked,1000003302,6309,
16.4956,,Spot,3,Untracked,1000003311,6310,
0.793121,,Spot,3,Tracked,1000004300,6311,
14.8956,,Spot,3,Tracked,1000004309,6312,
3.05843,,Spot,3,Tracked,1000004318,6313,
6.01201,,Spot,3,Tracked,1000004327,6314,
5.67787,,Spot,3,Tracked,1000004340,6315,
4.34315,,Spot,3,Tracked,1000004347,6316,
4.51957,,Spot,3,Tracked,1000004364,6317,
7.09115,,Spot,3,Tracked,1000004373,6318,
6.25117,,Spot,3,Tracked,1000004382,6319,
6.54418,,Spot,3,Tracked,1000004391,6320,
3.48007,,Spot,3,Tracked,1000004400,6321,
8.17955,,Spot,3,Tracked,1000004409,6322,
6.0486,,Spot,3,Tracked,1000004418,6323,
6.85884,,Spot,3,Tracked,1000004427,6324,
8.43988,,Spot,3,Tracked,1000004436,6325,
12.0882,,Spot,3,Tracked,1000004445,6326,
4.49079,,Spot,3,Tracked,1000004454,6327,
4.24147,,Spot,3,Tracked,1000004462,6328,
12.6356,,Spot,3,Tracked,1000004471,6329,
12.4382,,Spot,3,Tracked,1000004487,6330,
4.44349,,Spot,3,Tracked,1000004496,6331,
11.0114,,Spot,3,Tracked,1000004505,6332,
2.98161,,Spot,3,Tracked,1000004514,6333,
2.67268,,Spot,3,Tracked,1000004523,6334,
4.02823,,Spot,3,Tracked,1000004532,6335,
7.24368,,Spot,3,Tracked,1000004541,6336,
6.31748,,Spot,3,Tracked,1000004550,6337,
5.4165,,Spot,3,Tracked,1000004559,6338,
3.84624,,Spot,3,Tracked,1000004568,6339,
7.65933,,Spot,3,Tracked,1000004577,6340,
4.26347,,Spot,3,Tracked,1000004586,6341,
5.47705,,Spot,3,Untracked,1000004595,6342,
5.13551,,Spot,3,Tracked,1000004603,6343,
3.72708,,Spot,3,Untracked,1000004612,6344,
6.21551,,Spot,3,Tracked,1000004621,6345,
8.06562,,Spot,3,Tracked,1000004630,6346,
20.2635,,Spot,3,Tracked,1000004639,6347,
7.16234,,Spot,3,Tracked,1000004648,6348,
2.61523,,Spot,3,Tracked,1000004657,6349,
9.62027,,Spot,3,Tracked,1000004666,6350,
0.802743,,Spot,3,Tracked,1000005960,6351,
4.40293,,Spot,4,Untracked,1000000051,6352,
0,,Spot,4,Untracked,1000006353,6353,
0,,Spot,4,Untracked,1000006354,6354,
11.8725,,Spot,4,Untracked,1000000053,6355,
8.91082,,Spot,4,Untracked,1000005963,6356,
8.32814,,Spot,4,Untracked,1000005974,6357,
