
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
91.8939,,Spot,11,Image 1,3,Tracked,1000001031,1576,
89.7104,,Spot,11,Image 1,3,Tracked,1000001045,1577,
96.1911,,Spot,11,Image 1,3,Tracked,1000001059,1578,
140.973,,Spot,11,Image 1,3,Tracked,1000001075,1579,
97.4054,,Spot,11,Image 1,3,Tracked,1000001089,1580,
85.7536,,Spot,11,Image 1,3,Tracked,1000001103,1581,
66.5992,,Spot,11,Image 1,3,Tracked,1000001117,1582,
81.9151,,Spot,11,Image 1,3,Tracked,1000001131,1583,
73.4832,,Spot,11,Image 1,3,Tracked,1000001145,1584,
63.275,,Spot,11,Image 1,3,Tracked,1000001159,1585,
69.2047,,Spot,11,Image 1,3,Tracked,1000001173,1586,
68.0466,,Spot,11,Image 1,3,Tracked,1000001193,1587,
56.0468,,Spot,11,Image 1,3,Tracked,1000001207,1588,
57.8946,,Spot,11,Image 1,3,Tracked,1000001235,1589,
58.3257,,Spot,11,Image 1,3,Tracked,1000001249,1590,
59.8168,,Spot,11,Image 1,3,Tracked,1000001263,1591,
56.0882,,Spot,11,Image 1,3,Tracked,1000001277,1592,
58.7927,,Spot,11,Image 1,3,Tracked,1000001291,1593,
44.4964,,Spot,11,Image 1,3,Tracked,1000001305,1594,
50.3731,,Spot,11,Image 1,3,Tracked,1000001333,1595,
58.4548,,Spot,11,Image 1,3,Tracked,1000001347,1596,
48.9698,,Spot,11,Image 1,3,Tracked,1000001361,1597,
53.8004,,Spot,11,Image 1,3,Tracked,1000001375,1598,
51.6118,,Spot,11,Image 1,3,Tracked,1000001389,1599,
51.0227,,Spot,11,Image 1,3,Tracked,1000001403,1600,
206.998,,Spot,11,Image 1,4,Tracked,1000000000,1601,
219.588,,Spot,11,Image 1,4,Tracked,1000000013,1602,
240.324,,Spot,11,Image 1,4,Tracked,1000000026,1603,
264.953,,Spot,11,Image 1,4,Tracked,1000000039,1604,
192.316,,Spot,11,Image 1,4,Tracked,1000000052,1605,
192.154,,Spot,11,Image 1,4,Tracked,1000000066,1606,
169.472,,Spot,11,Image 1,4,Tracked,1000000080,1607,
162.454,,Spot,11,Image 1,4,Tracked,1000000094,1608,
159.447,,Spot,11,Image 1,4,Tracked,1000000108,1609,
167.647,,Spot,11,Image 1,4,Tracked,1000000122,1610,
179.994,,Spot,11,Image 1,4,Tracked,1000000135,1611,
161.033,,Spot,11,Image 1,4,Tracked,1000000148,1612,
151.202,,Spot,11,Image 1,4,Tracked,1000000162,1613,
142.575,,Spot,11,Image 1,4,Tracked,1000000176,1614,
173.02,,Spot,11,Image 1,4,Tracked,1000000190,1615,
207.357,,Spot,11,Image 1,4,Tracked,1000000203,1616,
197.07,,Spot,11,Image 1,4,Tracked,1000000216,1617,
139.878,,Spot,11,Image 1,4,Tracked,1000000230,1618,
133.768,,Spot,11,Image 1,4,Tracked,1000000244,1619,
112.523,,Spot,11,Image 1,4,Tracked,1000000259,1620,
139.507,,Spot,11,Image 1,4,Tracked,1000000273,1621,
140.43,,Spot,11,Image 1,4,Tracked,1000000287,1622,
169.208,,Spot,11,Image 1,4,Tracked,1000000302,1623,
170.299,,Spot,11,Image 1,4,Tracked,1000000314,1624,
159.278,,Spot,11,Image 1,4,Tracked,1000000325,1625,
157.017,,Spot,11,Image 1,4,Tracked,1000000338,1626,
139.813,,Spot,11,Image 1,4,Tracked,1000000358,1627,
128.925,,Spot,11,Image 1,4,Tracked,1000000371,1628,
126.55,,Spot,11,Image 1,4,Tracked,1000000385,1629,
111.947,,Spot,11,Image 1,4,Tracked,1000000400,1630,
126.847,,Spot,11,Image 1,4,Tracked,1000000414,1631,
134.845,,Spot,11,Image 1,4,Tracked,1000000428,1632,
127.305,,Spot,11,Image 1,4,Tracked,1000000442,1633,
121.554,,Spot,11,Image 1,4,Tracked,1000000479,1634,
118.633,,Spot,11,Image 1,4,Tracked,1000000493,1635,
103.562,,Spot,11,Image 1,4,Tracked,1000000507,1636,
88.3186,,Spot,11,Image 1,4,Tracked,1000000521,1637,
80.1691,,Spot,11,Image 1,4,Tracked,1000000535,1638,
113.435,,Spot,11,Image 1,4,Tracked,1000000549,1639,
138.656,,Spot,11,Image 1,4,Tracked,1000000563,1640,
133.477,,Spot,11,Image 1,4,Tracked,1000000577,1641,
127.989,,Spot,11,Image 1,4,Tracked,1000000590,1642,
113.663,,Spot,11,Image 1,4,Tracked,1000000604,1643,
110.039,,Spot,11,Image 1,4,Tracked,1000000618,1644,
102.05,,Spot,11,Image 1,4,Tracked,1000000632,1645,
130.927,,Spot,11,Image 1,4,Tracked,1000000646,1646,
138.614,,Spot,11,Image 1,4,Tracked,1000000664,1647,
119.555,,Spot,11,Image 1,4,Tracked,1000000678,1648,
125.405,,Spot,11,Image 1,4,Tracked,1000000692,1649,
164.874,,Spot,11,Image 1,4,Tracked,1000000701,1650,
159.751,,Spot,11,Image 1,4,Tracked,1000000706,1651,
175.059,,Spot,11,Image 1,4,Tracked,1000000724,1652,
86.4026,,Spot,11,Image 1,4,Tracked,1000000738,1653,
87.4076,,Spot,11,Image 1,4,Tracked,1000000752,1654,
78.1925,,Spot,11,Image 1,4,Tracked,1000000766,1655,
44.4741,,Spot,11,Image 1,4,Tracked,1000000780,1656,
76.9281,,Spot,11,Image 1,4,Tracked,1000000794,1657,
64.5161,,Spot,11,Image 1,4,Tracked,1000000808,1658,
85.4361,,Spot,11,Image 1,4,Tracked,1000000822,1659,
62.1745,,Spot,11,Image 1,4,Tracked,1000000827,1660,
65.8077,,Spot,11,Image 1,4,Tracked,1000000841,1661,
66.3329,,Spot,11,Image 1,4,Tracked,1000000869,1662,
63.5463,,Spot,11,Image 1,4,Tracked,1000000883,1663,
96.4868,,Spot,11,Image 1,4,Tracked,1000000897,1664,
61.8767,,Spot,11,Image 1,4,Tracked,1000000911,1665,
66.7023,,Spot,11,Image 1,4,Tracked,1000000925,1666,
83.0147,,Spot,11,Image 1,4,Tracked,1000000939,1667,
69.5944,,Spot,11,Image 1,4,Tracked,1000000953,1668,
