empty,,,,,,
Time,,,,,,
 ==================== ,,,,,,
Time,Unit,Category,Time,Set 1,TrackID,ID
0,,Spot,1,Untracked,1000000352,352
0,,Spot,1,Untracked,1000000353,353
0,,Spot,1,Untracked,1000000354,354
0,,Spot,1,Untracked,1000000355,355
0,,Spot,1,Untracked,1000000356,356
0,,Spot,1,Untracked,1000000358,358
0,,Spot,1,Untracked,1000000359,359
0,,Spot,1,Untracked,1000000360,360
0,,Spot,1,Untracked,1000000361,361
0,,Spot,1,Untracked,1000000362,362
0,,Spot,1,Untracked,1000000363,363
0,,Spot,1,Untracked,1000000364,364
0,,Spot,1,Untracked,1000000365,365
0,,Spot,1,Untracked,1000000366,366
0,,Spot,1,Untracked,1000000367,367
0,,Spot,1,Untracked,1000000368,368
0,,Spot,1,Untracked,1000000369,369
0,,Spot,1,Untracked,1000000370,370
0,,Spot,1,Untracked,1000000371,371
0,,Spot,1,Untracked,1000000372,372
0,,Spot,1,Untracked,1000000373,373
0,,Spot,1,Untracked,1000000374,374
0,,Spot,1,Untracked,1000000376,376
0,,Spot,1,Untracked,1000000377,377
0,,Spot,1,Untracked,1000000379,379
0,,Spot,1,Untracked,1000000380,380
0,,Spot,1,Untracked,1000000390,390
0,,Spot,1,Untracked,1000000392,392
0,,Spot,1,Untracked,1000000393,393
0,,Spot,1,Untracked,1000000394,394
0,,Spot,1,Untracked,1000000395,395
0,,Spot,1,Untracked,1000000396,396
0,,Spot,1,Untracked,1000000397,397
0,,Spot,1,Untracked,1000000401,401
0,,Spot,1,Untracked,1000000406,406
0,,Spot,1,Untracked,1000000410,410
0,,Spot,1,Untracked,1000000415,415
0,,Spot,1,Untracked,1000000418,418
0,,Spot,1,Untracked,1000000419,419
0,,Spot,1,Untracked,1000000420,420
0,,Spot,1,Untracked,1000000421,421
0,,Spot,1,Untracked,1000000422,422
0,,Spot,1,Untracked,1000000424,424
0,,Spot,1,Untracked,1000000425,425
0,,Spot,1,Untracked,1000000426,426
0,,Spot,1,Untracked,1000000427,427
0,,Spot,1,Untracked,1000000428,428
0,,Spot,1,Untracked,1000000437,437
0,,Spot,1,Untracked,1000000438,438
0,,Spot,1,Untracked,1000000442,442
0,,Spot,1,Untracked,1000000443,443
0,,Spot,1,Untracked,1000000444,444
0,,Spot,1,Untracked,1000000447,447
0,,Spot,1,Untracked,1000000448,448
0,,Spot,1,Untracked,1000000451,451
0,,Spot,1,Untracked,1000000453,453
0,,Spot,1,Untracked,1000000456,456
0,,Spot,1,Untracked,1000000457,457
0,,Spot,1,Untracked,1000000460,460
0,,Spot,1,Untracked,1000000463,463
0,,Spot,1,Untracked,1000000464,464
0,,Spot,1,Untracked,1000000466,466
0,,Spot,1,Untracked,1000000475,475
