
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
5207.96,µm,Spot,Distance from Origin,1,2230,
5187.57,µm,Spot,Distance from Origin,1,2261,
5183.42,µm,Spot,Distance from Origin,1,2266,
5191.86,µm,Spot,Distance from Origin,1,2273,
5354.48,µm,Spot,Distance from Origin,1,2457,
5329.18,µm,Spot,Distance from Origin,1,2458,
5362.64,µm,Spot,Distance from Origin,1,2471,
5325.68,µm,Spot,Distance from Origin,1,2552,
5423.18,µm,Spot,Distance from Origin,1,2661,
5099.5,µm,Spot,Distance from Origin,2,2937,
5117.52,µm,Spot,Distance from Origin,2,2938,
5102.65,µm,Spot,Distance from Origin,2,2939,
5123.18,µm,Spot,Distance from Origin,2,2971,
5226.53,µm,Spot,Distance from Origin,2,3016,
5225.53,µm,Spot,Distance from Origin,2,3018,
5260.11,µm,Spot,Distance from Origin,2,3045,
5271.61,µm,Spot,Distance from Origin,2,3046,
5277.79,µm,Spot,Distance from Origin,2,3056,
5287.56,µm,Spot,Distance from Origin,2,3065,
5131.99,µm,Spot,Distance from Origin,2,3101,
5161.63,µm,Spot,Distance from Origin,2,3127,
5205.71,µm,Spot,Distance from Origin,2,3132,
5175.95,µm,Spot,Distance from Origin,2,3135,
5199.9,µm,Spot,Distance from Origin,2,3140,
5209.23,µm,Spot,Distance from Origin,2,3144,
5230.13,µm,Spot,Distance from Origin,2,3150,
5220.79,µm,Spot,Distance from Origin,2,3154,
5216.02,µm,Spot,Distance from Origin,2,3160,
5218.86,µm,Spot,Distance from Origin,2,3175,
5222.12,µm,Spot,Distance from Origin,2,3176,
5226.14,µm,Spot,Distance from Origin,2,3177,
5260.88,µm,Spot,Distance from Origin,2,3184,
5234.2,µm,Spot,Distance from Origin,2,3185,
5255.34,µm,Spot,Distance from Origin,2,3187,
5281.12,µm,Spot,Distance from Origin,2,3213,
5279.64,µm,Spot,Distance from Origin,2,3220,
5127.79,µm,Spot,Distance from Origin,2,3235,
5144.91,µm,Spot,Distance from Origin,2,3242,
5123.11,µm,Spot,Distance from Origin,2,3243,
5120.08,µm,Spot,Distance from Origin,2,3244,
5141.42,µm,Spot,Distance from Origin,2,3245,
5128.98,µm,Spot,Distance from Origin,2,3248,
5134.56,µm,Spot,Distance from Origin,2,3250,
5150.02,µm,Spot,Distance from Origin,2,3262,
5162.84,µm,Spot,Distance from Origin,2,3264,
5139.58,µm,Spot,Distance from Origin,2,3265,
5135.75,µm,Spot,Distance from Origin,2,3279,
5134.04,µm,Spot,Distance from Origin,2,3280,
5151.42,µm,Spot,Distance from Origin,2,3295,
5204.01,µm,Spot,Distance from Origin,2,3329,
5205.25,µm,Spot,Distance from Origin,2,3330,
5197.1,µm,Spot,Distance from Origin,2,3334,
5211.35,µm,Spot,Distance from Origin,2,3339,
5180.57,µm,Spot,Distance from Origin,2,3340,
5197.2,µm,Spot,Distance from Origin,2,3350,
5222.93,µm,Spot,Distance from Origin,2,3358,
5232.27,µm,Spot,Distance from Origin,2,3359,
5231.33,µm,Spot,Distance from Origin,2,3376,
5244.07,µm,Spot,Distance from Origin,2,3402,
5229.23,µm,Spot,Distance from Origin,2,3412,
5241.85,µm,Spot,Distance from Origin,2,3414,
5239.31,µm,Spot,Distance from Origin,2,3415,
5238.3,µm,Spot,Distance from Origin,2,3419,
5238.51,µm,Spot,Distance from Origin,2,3420,
5264.85,µm,Spot,Distance from Origin,2,3425,
5298.49,µm,Spot,Distance from Origin,2,3434,
5280.5,µm,Spot,Distance from Origin,2,3446,
5274.35,µm,Spot,Distance from Origin,2,3451,
5148.44,µm,Spot,Distance from Origin,2,3467,
5141.13,µm,Spot,Distance from Origin,2,3469,
5140.91,µm,Spot,Distance from Origin,2,3470,
5148.74,µm,Spot,Distance from Origin,2,3472,
5143.77,µm,Spot,Distance from Origin,2,3474,
5134.01,µm,Spot,Distance from Origin,2,3475,
5146.39,µm,Spot,Distance from Origin,2,3477,
5135.03,µm,Spot,Distance from Origin,2,3479,
5128.22,µm,Spot,Distance from Origin,2,3480,
5135.56,µm,Spot,Distance from Origin,2,3481,
5130.9,µm,Spot,Distance from Origin,2,3483,
5139.53,µm,Spot,Distance from Origin,2,3484,
5132.75,µm,Spot,Distance from Origin,2,3491,
5153.03,µm,Spot,Distance from Origin,2,3492,
5140.87,µm,Spot,Distance from Origin,2,3497,
5167.28,µm,Spot,Distance from Origin,2,3499,
5157.54,µm,Spot,Distance from Origin,2,3503,
5155.08,µm,Spot,Distance from Origin,2,3510,
5153.93,µm,Spot,Distance from Origin,2,3512,
5176.96,µm,Spot,Distance from Origin,2,3517,
5197.5,µm,Spot,Distance from Origin,2,3518,
5159.54,µm,Spot,Distance from Origin,2,3521,
5189.78,µm,Spot,Distance from Origin,2,3525,
5176.41,µm,Spot,Distance from Origin,2,3527,
5190.74,µm,Spot,Distance from Origin,2,3532,
5207.78,µm,Spot,Distance from Origin,2,3536,
5211.89,µm,Spot,Distance from Origin,2,3539,
5190.46,µm,Spot,Distance from Origin,2,3563,
5222.47,µm,Spot,Distance from Origin,2,3577,
5211.22,µm,Spot,Distance from Origin,2,3588,
5213.28,µm,Spot,Distance from Origin,2,3590,
5230.96,µm,Spot,Distance from Origin,2,3591,
5258.71,µm,Spot,Distance from Origin,2,3605,
5254.51,µm,Spot,Distance from Origin,2,3608,
5254.22,µm,Spot,Distance from Origin,2,3611,
5259.53,µm,Spot,Distance from Origin,2,3612,
5249.37,µm,Spot,Distance from Origin,2,3615,
5278.25,µm,Spot,Distance from Origin,2,3618,
5243.01,µm,Spot,Distance from Origin,2,3619,
5250.95,µm,Spot,Distance from Origin,2,3620,
5246.8,µm,Spot,Distance from Origin,2,3622,
5261.57,µm,Spot,Distance from Origin,2,3633,
5260.78,µm,Spot,Distance from Origin,2,3635,
5283.97,µm,Spot,Distance from Origin,2,3636,
5266.4,µm,Spot,Distance from Origin,2,3637,
5285.98,µm,Spot,Distance from Origin,2,3675,
5292.95,µm,Spot,Distance from Origin,2,3679,
5311.66,µm,Spot,Distance from Origin,2,3686,
5342.42,µm,Spot,Distance from Origin,2,3687,
5101.59,µm,Spot,Distance from Origin,2,3688,
5102.76,µm,Spot,Distance from Origin,2,3693,
5108.49,µm,Spot,Distance from Origin,2,3696,
5140.1,µm,Spot,Distance from Origin,2,3702,
5147.49,µm,Spot,Distance from Origin,2,3729,
5159.93,µm,Spot,Distance from Origin,2,3732,
5142.93,µm,Spot,Distance from Origin,2,3748,
5161.61,µm,Spot,Distance from Origin,2,3749,
5160.66,µm,Spot,Distance from Origin,2,3758,
5183.7,µm,Spot,Distance from Origin,2,3760,
5205.59,µm,Spot,Distance from Origin,2,3763,
5212.52,µm,Spot,Distance from Origin,2,3768,
5191.73,µm,Spot,Distance from Origin,2,3771,
5207.28,µm,Spot,Distance from Origin,2,3776,
5177.52,µm,Spot,Distance from Origin,2,3778,
5188.01,µm,Spot,Distance from Origin,2,3783,
5201.82,µm,Spot,Distance from Origin,2,3787,
5215.5,µm,Spot,Distance from Origin,2,3802,
5217.32,µm,Spot,Distance from Origin,2,3805,
5226.55,µm,Spot,Distance from Origin,2,3809,
5214.9,µm,Spot,Distance from Origin,2,3812,
5214.64,µm,Spot,Distance from Origin,2,3813,
5211.52,µm,Spot,Distance from Origin,2,3815,
5222.87,µm,Spot,Distance from Origin,2,3818,
5251.36,µm,Spot,Distance from Origin,2,3822,
5238.43,µm,Spot,Distance from Origin,2,3823,
5237.69,µm,Spot,Distance from Origin,2,3825,
5221.36,µm,Spot,Distance from Origin,2,3829,
5233.64,µm,Spot,Distance from Origin,2,3837,
5254.34,µm,Spot,Distance from Origin,2,3840,
5226.99,µm,Spot,Distance from Origin,2,3841,
5232.21,µm,Spot,Distance from Origin,2,3842,
5235.77,µm,Spot,Distance from Origin,2,3843,
5253.02,µm,Spot,Distance from Origin,2,3849,
