
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,ID,
18.1286,µm,Spot,9,19452,
19.195,µm,Spot,9,19461,
15.2266,µm,Spot,9,19463,
20.0958,µm,Spot,9,19466,
8.30805,µm,Spot,9,19467,
16.6021,µm,Spot,9,19468,
21.0234,µm,Spot,9,19469,
20.3134,µm,Spot,9,19487,
20.3134,µm,Spot,9,19495,
18.205,µm,Spot,9,19499,
18.205,µm,Spot,9,19501,
35.2157,µm,Spot,9,19535,
11.9296,µm,Spot,9,19552,
11.9296,µm,Spot,9,19553,
12.432,µm,Spot,9,19558,
11.7066,µm,Spot,9,19559,
9.72861,µm,Spot,9,19560,
18.4486,µm,Spot,9,19561,
9.72861,µm,Spot,9,19563,
29.9924,µm,Spot,9,19570,
30.6854,µm,Spot,9,19576,
13.8358,µm,Spot,9,19578,
17.1255,µm,Spot,9,19579,
17.2081,µm,Spot,9,19594,
11.3772,µm,Spot,9,19600,
10.9379,µm,Spot,9,19604,
11.3772,µm,Spot,9,19605,
30.1901,µm,Spot,9,19606,
35.9331,µm,Spot,9,19607,
18.8625,µm,Spot,9,19611,
10.9379,µm,Spot,9,19615,
11.2924,µm,Spot,9,19624,
27.7211,µm,Spot,9,19636,
26.6105,µm,Spot,9,19677,
27.4242,µm,Spot,9,19734,
23.597,µm,Spot,9,19736,
12.4928,µm,Spot,9,19737,
12.4928,µm,Spot,9,19738,
25.8814,µm,Spot,9,19770,
36.9733,µm,Spot,9,19789,
22.0953,µm,Spot,9,19797,
33.7933,µm,Spot,9,19807,
27.4923,µm,Spot,9,19809,
24.4346,µm,Spot,9,19815,
28.6088,µm,Spot,9,19817,
23.6584,µm,Spot,9,19819,
26.8222,µm,Spot,9,19842,
20.7417,µm,Spot,9,19853,
26.7431,µm,Spot,9,19857,
33.3289,µm,Spot,9,19868,
19.7772,µm,Spot,9,19870,
20.7417,µm,Spot,9,19876,
26.8303,µm,Spot,9,19877,
21.6436,µm,Spot,9,19883,
8.27237,µm,Spot,9,19886,
24.0967,µm,Spot,9,19887,
8.27237,µm,Spot,9,19888,
26.8303,µm,Spot,9,19889,
17.2382,µm,Spot,9,19891,
31.7743,µm,Spot,9,19901,
25.8361,µm,Spot,9,19915,
38.7135,µm,Spot,9,19921,
45.2896,µm,Spot,9,19929,
17.0539,µm,Spot,9,19978,
18.1286,µm,Spot,9,19980,
14.0104,µm,Spot,9,19984,
19.052,µm,Spot,9,19985,
14.0104,µm,Spot,9,19987,
23.1374,µm,Spot,9,19988,
16.3701,µm,Spot,9,19990,
16.3701,µm,Spot,9,19991,
23.1374,µm,Spot,9,19999,
22.9385,µm,Spot,9,20000,
20.72,µm,Spot,9,20001,
20.72,µm,Spot,9,20012,
8.30805,µm,Spot,9,20017,
31.0327,µm,Spot,9,20036,
22.8221,µm,Spot,9,20075,
26.0414,µm,Spot,9,20077,
25.7806,µm,Spot,9,20080,
27.2074,µm,Spot,9,20081,
22.8221,µm,Spot,9,20093,
27.7211,µm,Spot,9,20116,
18.9295,µm,Spot,9,20185,
18.9295,µm,Spot,9,20188,
57.8578,µm,Spot,9,20213,
50.5096,µm,Spot,9,20223,
45.3622,µm,Spot,9,20284,
25.5185,µm,Spot,10,20620,
25.5185,µm,Spot,10,20624,
27.883,µm,Spot,10,20638,
19.7107,µm,Spot,10,20669,
42.3499,µm,Spot,10,20670,
30.9898,µm,Spot,10,20672,
20.8188,µm,Spot,10,20688,
23.7705,µm,Spot,10,20708,
15.5028,µm,Spot,10,20713,
29.3234,µm,Spot,10,20719,
25.798,µm,Spot,10,20739,
18.6224,µm,Spot,10,20740,
22.8246,µm,Spot,10,20743,
17.4795,µm,Spot,10,20756,
19.3719,µm,Spot,10,20760,
23.5489,µm,Spot,10,20762,
31.8896,µm,Spot,10,20789,
32.6605,µm,Spot,10,20793,
38.3994,µm,Spot,10,20798,
41.6649,µm,Spot,10,20805,
30.2184,µm,Spot,10,20810,
38.3994,µm,Spot,10,20813,
21.904,µm,Spot,10,20814,
21.904,µm,Spot,10,20824,
30.5589,µm,Spot,10,20827,
23.6257,µm,Spot,10,20836,
41.423,µm,Spot,10,20861,
31.1576,µm,Spot,10,20869,
41.8915,µm,Spot,10,20875,
15.5028,µm,Spot,10,20881,
41.3719,µm,Spot,10,20885,
35.7098,µm,Spot,10,20891,
25.4928,µm,Spot,10,20901,
14.8228,µm,Spot,10,20924,
12.5587,µm,Spot,10,20925,
16.3003,µm,Spot,10,20928,
12.5587,µm,Spot,10,20929,
14.1028,µm,Spot,10,20931,
14.8228,µm,Spot,10,20933,
22.161,µm,Spot,10,20934,
34.275,µm,Spot,10,20935,
17.8953,µm,Spot,10,20942,
10.6223,µm,Spot,10,20943,
25.9709,µm,Spot,10,20944,
103.624,µm,Spot,10,20950,
25.9847,µm,Spot,10,20995,
25.9847,µm,Spot,10,20997,
35.8809,µm,Spot,10,21000,
34.5522,µm,Spot,10,21001,
36.0601,µm,Spot,10,21003,
28.7327,µm,Spot,10,21012,
28.7327,µm,Spot,10,21013,
36.4355,µm,Spot,10,21015,
13.0884,µm,Spot,10,21018,
25.7372,µm,Spot,10,21034,
45.491,µm,Spot,10,21039,
13.1254,µm,Spot,10,21059,
13.1254,µm,Spot,10,21060,
15.9858,µm,Spot,10,21061,
48.2217,µm,Spot,10,21082,
46.0831,µm,Spot,10,21104,
27.6714,µm,Spot,10,21125,
29.6491,µm,Spot,10,21128,
20.2918,µm,Spot,10,21130,
14.7718,µm,Spot,10,21131,
37.3828,µm,Spot,10,21143,
9.24414,µm,Spot,10,21152,
14.7718,µm,Spot,10,21154,
9.24414,µm,Spot,10,21158,
29.9001,µm,Spot,10,21160,
20.2918,µm,Spot,10,21161,
34.0004,µm,Spot,10,21163,
18.1221,µm,Spot,10,21168,
51.5468,µm,Spot,10,21228,
24.5992,µm,Spot,10,21265,
25.9585,µm,Spot,10,21291,
25.9585,µm,Spot,10,21323,
20.112,µm,Spot,10,21325,
10.5633,µm,Spot,10,21330,
16.3825,µm,Spot,10,21334,
10.5633,µm,Spot,10,21338,
11.3477,µm,Spot,10,21339,
19.8598,µm,Spot,10,21340,
8.21207,µm,Spot,10,21343,
22.5625,µm,Spot,10,21345,
8.21207,µm,Spot,10,21349,
11.0156,µm,Spot,10,21351,
20.3881,µm,Spot,10,21355,
19.8598,µm,Spot,10,21356,
23.1429,µm,Spot,10,21372,
25.439,µm,Spot,10,21380,
15.2092,µm,Spot,10,21401,
30.2322,µm,Spot,10,21402,
16.8959,µm,Spot,10,21409,
10.754,µm,Spot,10,21413,
15.2092,µm,Spot,10,21414,
17.2683,µm,Spot,10,21422,
26.9074,µm,Spot,10,21423,
16.2235,µm,Spot,10,21429,
38.6728,µm,Spot,10,21430,
18.5504,µm,Spot,10,21432,
13.4349,µm,Spot,10,21435,
18.6351,µm,Spot,10,21437,
13.1947,µm,Spot,10,21439,
14.8169,µm,Spot,10,21440,
16.132,µm,Spot,10,21442,
23.7418,µm,Spot,10,21447,
16.132,µm,Spot,10,21448,
13.1947,µm,Spot,10,21449,
13.2574,µm,Spot,10,21450,
13.6439,µm,Spot,10,21453,
10.754,µm,Spot,10,21455,
15.3858,µm,Spot,10,21456,
30.9898,µm,Spot,10,21460,
13.2574,µm,Spot,10,21463,
15.0816,µm,Spot,10,21464,
16.4747,µm,Spot,10,21477,
18.6351,µm,Spot,10,21478,
29.3986,µm,Spot,10,21480,
16.4747,µm,Spot,10,21481,
23.7705,µm,Spot,10,21486,
22.5353,µm,Spot,10,21502,
16.9755,µm,Spot,10,21503,
30.7385,µm,Spot,10,21505,
21.0912,µm,Spot,10,21513,
16.9755,µm,Spot,10,21514,
8.11688,µm,Spot,10,21520,
8.11688,µm,Spot,10,21521,
22.9625,µm,Spot,10,21522,
11.8464,µm,Spot,10,21523,
11.7106,µm,Spot,10,21524,
11.7106,µm,Spot,10,21525,
17.7377,µm,Spot,10,21528,
20.9752,µm,Spot,10,21530,
11.3271,µm,Spot,10,21531,
11.8464,µm,Spot,10,21534,
11.3271,µm,Spot,10,21537,
18.6224,µm,Spot,10,21545,
20.3539,µm,Spot,10,21547,
29.873,µm,Spot,10,21549,
16.3825,µm,Spot,10,21553,
22.1476,µm,Spot,10,21555,
25.9114,µm,Spot,10,21564,
17.9852,µm,Spot,10,21567,
27.5589,µm,Spot,10,21572,
17.0353,µm,Spot,10,21573,
19.3719,µm,Spot,10,21580,
17.7625,µm,Spot,10,21582,
17.0353,µm,Spot,10,21583,
28.6728,µm,Spot,10,21587,
21.4266,µm,Spot,10,21604,
23.1344,µm,Spot,10,21606,
17.8882,µm,Spot,10,21607,
7.86132,µm,Spot,10,21608,
7.86132,µm,Spot,10,21609,
21.6015,µm,Spot,10,21610,
25.5565,µm,Spot,10,21612,
18.587,µm,Spot,10,21616,
17.686,µm,Spot,10,21625,
20.7967,µm,Spot,10,21635,
18.9587,µm,Spot,10,21636,
11.4062,µm,Spot,10,21637,
19.1417,µm,Spot,10,21652,
19.1417,µm,Spot,10,21663,
42.1068,µm,Spot,10,21664,
23.7418,µm,Spot,10,21680,
31.1576,µm,Spot,10,21684,
35.7098,µm,Spot,10,21704,
10.2424,µm,Spot,10,21718,
9.77072,µm,Spot,10,21720,
10.2424,µm,Spot,10,21723,
22.1476,µm,Spot,10,21724,
9.77072,µm,Spot,10,21725,
20.033,µm,Spot,10,21727,
10.6223,µm,Spot,10,21728,
16.8873,µm,Spot,10,21729,
29.7376,µm,Spot,10,21739,
26.0357,µm,Spot,10,21745,
13.0884,µm,Spot,10,21748,
17.1049,µm,Spot,10,21752,
17.1049,µm,Spot,10,21753,
13.8739,µm,Spot,10,21754,
23.6031,µm,Spot,10,21765,
18.2295,µm,Spot,10,21770,
36.5519,µm,Spot,10,21774,
36.5519,µm,Spot,10,21775,
36.6091,µm,Spot,10,21780,
15.9858,µm,Spot,10,21796,
44.7981,µm,Spot,10,21799,
63.2576,µm,Spot,10,21842,
25.9494,µm,Spot,10,21934,
42.5764,µm,Spot,10,21947,
23.2258,µm,Spot,10,21968,
11.0156,µm,Spot,10,21979,
26.0724,µm,Spot,10,21983,
20.3881,µm,Spot,10,21993,
25.439,µm,Spot,10,22013,
25.1139,µm,Spot,10,22024,
16.8959,µm,Spot,10,22027,
14.2274,µm,Spot,10,22028,
22.4885,µm,Spot,10,22030,
13.3559,µm,Spot,10,22032,
14.534,µm,Spot,10,22036,
26.8024,µm,Spot,10,22039,
19.5187,µm,Spot,10,22041,
14.534,µm,Spot,10,22048,
7.90688,µm,Spot,10,22049,
13.3559,µm,Spot,10,22051,
7.90688,µm,Spot,10,22054,
24.1261,µm,Spot,10,22056,
8.49211,µm,Spot,10,22060,
8.49211,µm,Spot,10,22061,
34.861,µm,Spot,10,22065,
17.1806,µm,Spot,10,22066,
16.976,µm,Spot,10,22071,
16.976,µm,Spot,10,22079,
16.7109,µm,Spot,10,22090,
16.7109,µm,Spot,10,22092,
41.4477,µm,Spot,10,22095,
22.5353,µm,Spot,10,22102,
37.9877,µm,Spot,10,22105,
23.2342,µm,Spot,10,22155,
19.5187,µm,Spot,10,22156,
17.686,µm,Spot,10,22157,
18.25,µm,Spot,10,22166,
18.25,µm,Spot,10,22168,
27.8148,µm,Spot,10,22175,
22.8675,µm,Spot,10,22177,
11.432,µm,Spot,10,22178,
20.2533,µm,Spot,10,22183,
11.432,µm,Spot,10,22185,
11.4062,µm,Spot,10,22196,
26.1009,µm,Spot,10,22205,
38.994,µm,Spot,10,22244,
40.7069,µm,Spot,10,22245,
28.7935,µm,Spot,10,22248,
29.7441,µm,Spot,10,22251,
48.964,µm,Spot,10,22254,
25.9494,µm,Spot,10,22331,
48.2915,µm,Spot,10,22334,
57.3687,µm,Spot,10,22353,
8.53692,µm,Spot,10,22363,
8.53692,µm,Spot,10,22366,
7.93772,µm,Spot,10,22448,
7.93772,µm,Spot,10,22451,
41.1443,µm,Spot,11,22736,
42.5197,µm,Spot,11,22758,
27.8821,µm,Spot,11,22759,
36.3125,µm,Spot,11,22766,
48.8992,µm,Spot,11,22774,
41.6102,µm,Spot,11,22797,
20.1395,µm,Spot,11,22810,
22.7501,µm,Spot,11,22826,
26.2284,µm,Spot,11,22859,
25.285,µm,Spot,11,22887,
25.285,µm,Spot,11,22901,
36.201,µm,Spot,11,22906,
38.1376,µm,Spot,11,22912,
29.4961,µm,Spot,11,22925,
20.4409,µm,Spot,11,22927,
38.1376,µm,Spot,11,22930,
20.4409,µm,Spot,11,22937,
29.4961,µm,Spot,11,22949,
29.2481,µm,Spot,11,22987,
42.1708,µm,Spot,11,22993,
19.1219,µm,Spot,11,22997,
40.3974,µm,Spot,11,22999,
19.1219,µm,Spot,11,23002,
19.9393,µm,Spot,11,23006,
28.0495,µm,Spot,11,23010,
19.7959,µm,Spot,11,23030,
40.5301,µm,Spot,11,23031,
11.8466,µm,Spot,11,23035,
11.8466,µm,Spot,11,23036,
23.4298,µm,Spot,11,23037,
25.4506,µm,Spot,11,23046,
19.9393,µm,Spot,11,23051,
101.381,µm,Spot,11,23054,
20.0236,µm,Spot,11,23100,
23.4148,µm,Spot,11,23103,
36.3067,µm,Spot,11,23105,
31.4449,µm,Spot,11,23110,
30.0333,µm,Spot,11,23122,
30.0333,µm,Spot,11,23123,
35.3646,µm,Spot,11,23126,
12.205,µm,Spot,11,23130,
13.5342,µm,Spot,11,23131,
23.8094,µm,Spot,11,23132,
18.2246,µm,Spot,11,23133,
