
Intensity Center Ch=7 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
567,,Spot,7,Image 1,2,3150,
577,,Spot,7,Image 1,2,3154,
876,,Spot,7,Image 1,2,3160,
599,,Spot,7,Image 1,2,3175,
1303,,Spot,7,Image 1,2,3176,
732,,Spot,7,Image 1,2,3177,
922,,Spot,7,Image 1,2,3184,
1513,,Spot,7,Image 1,2,3185,
994,,Spot,7,Image 1,2,3187,
1086,,Spot,7,Image 1,2,3213,
1011,,Spot,7,Image 1,2,3220,
581,,Spot,7,Image 1,2,3235,
391,,Spot,7,Image 1,2,3242,
420,,Spot,7,Image 1,2,3243,
522,,Spot,7,Image 1,2,3244,
528,,Spot,7,Image 1,2,3245,
241,,Spot,7,Image 1,2,3248,
609,,Spot,7,Image 1,2,3250,
726,,Spot,7,Image 1,2,3262,
516,,Spot,7,Image 1,2,3264,
489,,Spot,7,Image 1,2,3265,
920,,Spot,7,Image 1,2,3279,
308,,Spot,7,Image 1,2,3280,
567,,Spot,7,Image 1,2,3295,
203,,Spot,7,Image 1,2,3329,
932,,Spot,7,Image 1,2,3330,
103,,Spot,7,Image 1,2,3334,
530,,Spot,7,Image 1,2,3339,
866,,Spot,7,Image 1,2,3340,
730,,Spot,7,Image 1,2,3350,
550,,Spot,7,Image 1,2,3358,
823,,Spot,7,Image 1,2,3359,
461,,Spot,7,Image 1,2,3376,
477,,Spot,7,Image 1,2,3402,
478,,Spot,7,Image 1,2,3412,
745,,Spot,7,Image 1,2,3414,
831,,Spot,7,Image 1,2,3415,
1120,,Spot,7,Image 1,2,3419,
1305,,Spot,7,Image 1,2,3420,
1000,,Spot,7,Image 1,2,3425,
1343,,Spot,7,Image 1,2,3434,
736,,Spot,7,Image 1,2,3446,
1206,,Spot,7,Image 1,2,3451,
665,,Spot,7,Image 1,2,3467,
313,,Spot,7,Image 1,2,3469,
294,,Spot,7,Image 1,2,3470,
353,,Spot,7,Image 1,2,3472,
846,,Spot,7,Image 1,2,3474,
332,,Spot,7,Image 1,2,3475,
337,,Spot,7,Image 1,2,3477,
382,,Spot,7,Image 1,2,3479,
577,,Spot,7,Image 1,2,3480,
723,,Spot,7,Image 1,2,3481,
743,,Spot,7,Image 1,2,3483,
398,,Spot,7,Image 1,2,3484,
491,,Spot,7,Image 1,2,3491,
485,,Spot,7,Image 1,2,3492,
370,,Spot,7,Image 1,2,3497,
409,,Spot,7,Image 1,2,3499,
