
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
16629,,Spot,2,Image 1,1,1493,
17146,,Spot,2,Image 1,1,1495,
15105,,Spot,2,Image 1,1,1496,
16172,,Spot,2,Image 1,1,1506,
17856,,Spot,2,Image 1,1,1508,
17514,,Spot,2,Image 1,1,1509,
16487,,Spot,2,Image 1,1,1513,
42861,,Spot,2,Image 1,1,1534,
16246,,Spot,2,Image 1,1,1537,
27713,,Spot,2,Image 1,1,1543,
20862,,Spot,2,Image 1,1,1546,
21593,,Spot,2,Image 1,1,1547,
23197,,Spot,2,Image 1,1,1552,
19899,,Spot,2,Image 1,1,1553,
17493,,Spot,2,Image 1,1,1555,
26864,,Spot,2,Image 1,1,1567,
17997,,Spot,2,Image 1,1,1569,
17010,,Spot,2,Image 1,1,1572,
27150,,Spot,2,Image 1,1,1576,
23038,,Spot,2,Image 1,1,1589,
17781,,Spot,2,Image 1,1,1595,
15427,,Spot,2,Image 1,1,1615,
16277,,Spot,2,Image 1,1,1620,
14831,,Spot,2,Image 1,1,1634,
17890,,Spot,2,Image 1,1,1650,
17124,,Spot,2,Image 1,1,1651,
18288,,Spot,2,Image 1,1,1656,
16440,,Spot,2,Image 1,1,1657,
16647,,Spot,2,Image 1,1,1662,
15080,,Spot,2,Image 1,1,1665,
31084,,Spot,2,Image 1,1,1684,
30037,,Spot,2,Image 1,1,1690,
24328,,Spot,2,Image 1,1,1692,
24206,,Spot,2,Image 1,1,1694,
19088,,Spot,2,Image 1,1,1695,
27299,,Spot,2,Image 1,1,1697,
17497,,Spot,2,Image 1,1,1699,
25806,,Spot,2,Image 1,1,1700,
21296,,Spot,2,Image 1,1,1706,
16622,,Spot,2,Image 1,1,1710,
15785,,Spot,2,Image 1,1,1721,
16351,,Spot,2,Image 1,1,1725,
20473,,Spot,2,Image 1,1,1726,
19220,,Spot,2,Image 1,1,1732,
15235,,Spot,2,Image 1,1,1752,
15519,,Spot,2,Image 1,1,1768,
14659,,Spot,2,Image 1,1,1769,
14885,,Spot,2,Image 1,1,1775,
14610,,Spot,2,Image 1,1,1788,
16013,,Spot,2,Image 1,1,1815,
13941,,Spot,2,Image 1,1,1818,
14961,,Spot,2,Image 1,1,1824,
14981,,Spot,2,Image 1,1,1825,
18076,,Spot,2,Image 1,1,1837,
22770,,Spot,2,Image 1,1,1844,
22216,,Spot,2,Image 1,1,1845,
22757,,Spot,2,Image 1,1,1851,
17712,,Spot,2,Image 1,1,1857,
11759,,Spot,2,Image 1,1,1858,
16644,,Spot,2,Image 1,1,1864,
17092,,Spot,2,Image 1,1,1865,
15284,,Spot,2,Image 1,1,1870,
14808,,Spot,2,Image 1,1,1871,
15310,,Spot,2,Image 1,1,1893,
18394,,Spot,2,Image 1,1,1896,
19304,,Spot,2,Image 1,1,1898,
17128,,Spot,2,Image 1,1,1902,
16291,,Spot,2,Image 1,1,1914,
15161,,Spot,2,Image 1,1,1915,
15098,,Spot,2,Image 1,1,1920,
14456,,Spot,2,Image 1,1,1929,
17098,,Spot,2,Image 1,1,1936,
17377,,Spot,2,Image 1,1,1938,
16081,,Spot,2,Image 1,1,1941,
17680,,Spot,2,Image 1,1,1943,
15309,,Spot,2,Image 1,1,1945,
17962,,Spot,2,Image 1,1,1947,
15781,,Spot,2,Image 1,1,1948,
16959,,Spot,2,Image 1,1,1952,
17034,,Spot,2,Image 1,1,1954,
15383,,Spot,2,Image 1,1,1956,
9251,,Spot,2,Image 1,1,1957,
15435,,Spot,2,Image 1,1,1963,
14720,,Spot,2,Image 1,1,1974,
14847,,Spot,2,Image 1,1,1976,
16148,,Spot,2,Image 1,1,1983,
8846,,Spot,2,Image 1,1,1985,
15430,,Spot,2,Image 1,1,1990,
15881,,Spot,2,Image 1,1,2000,
15958,,Spot,2,Image 1,1,2004,
15007,,Spot,2,Image 1,1,2005,
14051,,Spot,2,Image 1,1,2007,
16009,,Spot,2,Image 1,1,2008,
16611,,Spot,2,Image 1,1,2014,
20758,,Spot,2,Image 1,1,2034,
18377,,Spot,2,Image 1,1,2037,
21448,,Spot,2,Image 1,1,2038,
18019,,Spot,2,Image 1,1,2042,
19463,,Spot,2,Image 1,1,2043,
22279,,Spot,2,Image 1,1,2044,
23887,,Spot,2,Image 1,1,2045,
20204,,Spot,2,Image 1,1,2052,
15193,,Spot,2,Image 1,1,2053,
16287,,Spot,2,Image 1,1,2054,
17853,,Spot,2,Image 1,1,2055,
15362,,Spot,2,Image 1,1,2057,
20317,,Spot,2,Image 1,1,2058,
16306,,Spot,2,Image 1,1,2060,
16866,,Spot,2,Image 1,1,2061,
18016,,Spot,2,Image 1,1,2072,
18593,,Spot,2,Image 1,1,2073,
16092,,Spot,2,Image 1,1,2078,
15627,,Spot,2,Image 1,1,2085,
14256,,Spot,2,Image 1,1,2098,
15622,,Spot,2,Image 1,1,2102,
15010,,Spot,2,Image 1,1,2103,
16120,,Spot,2,Image 1,1,2148,
14311,,Spot,2,Image 1,1,2177,
16864,,Spot,2,Image 1,1,2189,
19349,,Spot,2,Image 1,1,2191,
21560,,Spot,2,Image 1,1,2193,
17949,,Spot,2,Image 1,1,2194,
16759,,Spot,2,Image 1,1,2196,
18505,,Spot,2,Image 1,1,2197,
20110,,Spot,2,Image 1,1,2198,
19567,,Spot,2,Image 1,1,2199,
21321,,Spot,2,Image 1,1,2200,
16228,,Spot,2,Image 1,1,2201,
18213,,Spot,2,Image 1,1,2203,
15995,,Spot,2,Image 1,1,2211,
13862,,Spot,2,Image 1,1,2212,
14486,,Spot,2,Image 1,1,2230,
15917,,Spot,2,Image 1,1,2261,
14781,,Spot,2,Image 1,1,2266,
14971,,Spot,2,Image 1,1,2273,
15546,,Spot,2,Image 1,1,2457,
14099,,Spot,2,Image 1,1,2458,
13741,,Spot,2,Image 1,1,2471,
14338,,Spot,2,Image 1,1,2552,
12114,,Spot,2,Image 1,1,2661,
28801,,Spot,2,Image 1,2,2937,
24680,,Spot,2,Image 1,2,2938,
27896,,Spot,2,Image 1,2,2939,
25872,,Spot,2,Image 1,2,2971,
19628,,Spot,2,Image 1,2,3016,
18437,,Spot,2,Image 1,2,3018,
18387,,Spot,2,Image 1,2,3045,
13777,,Spot,2,Image 1,2,3046,
14369,,Spot,2,Image 1,2,3056,
13955,,Spot,2,Image 1,2,3065,
19422,,Spot,2,Image 1,2,3101,
18522,,Spot,2,Image 1,2,3127,
13942,,Spot,2,Image 1,2,3132,
18832,,Spot,2,Image 1,2,3135,
14094,,Spot,2,Image 1,2,3140,
16508,,Spot,2,Image 1,2,3144,
14038,,Spot,2,Image 1,2,3150,
17693,,Spot,2,Image 1,2,3154,
16086,,Spot,2,Image 1,2,3160,
14937,,Spot,2,Image 1,2,3175,
13700,,Spot,2,Image 1,2,3176,
13036,,Spot,2,Image 1,2,3177,
12635,,Spot,2,Image 1,2,3184,
13723,,Spot,2,Image 1,2,3185,
13436,,Spot,2,Image 1,2,3187,
15102,,Spot,2,Image 1,2,3213,
14684,,Spot,2,Image 1,2,3220,
21474,,Spot,2,Image 1,2,3235,
14528,,Spot,2,Image 1,2,3242,
21504,,Spot,2,Image 1,2,3243,
22968,,Spot,2,Image 1,2,3244,
19086,,Spot,2,Image 1,2,3245,
19445,,Spot,2,Image 1,2,3248,
26107,,Spot,2,Image 1,2,3250,
17371,,Spot,2,Image 1,2,3262,
15729,,Spot,2,Image 1,2,3264,
18831,,Spot,2,Image 1,2,3265,
17798,,Spot,2,Image 1,2,3279,
20977,,Spot,2,Image 1,2,3280,
19969,,Spot,2,Image 1,2,3295,
20576,,Spot,2,Image 1,2,3329,
15171,,Spot,2,Image 1,2,3330,
17473,,Spot,2,Image 1,2,3334,
14449,,Spot,2,Image 1,2,3339,
14713,,Spot,2,Image 1,2,3340,
15652,,Spot,2,Image 1,2,3350,
14393,,Spot,2,Image 1,2,3358,
13006,,Spot,2,Image 1,2,3359,
12632,,Spot,2,Image 1,2,3376,
13611,,Spot,2,Image 1,2,3402,
13456,,Spot,2,Image 1,2,3412,
13619,,Spot,2,Image 1,2,3414,
13895,,Spot,2,Image 1,2,3415,
13279,,Spot,2,Image 1,2,3419,
12788,,Spot,2,Image 1,2,3420,
13101,,Spot,2,Image 1,2,3425,
12490,,Spot,2,Image 1,2,3434,
14937,,Spot,2,Image 1,2,3446,
13341,,Spot,2,Image 1,2,3451,
13921,,Spot,2,Image 1,2,3467,
12349,,Spot,2,Image 1,2,3469,
13625,,Spot,2,Image 1,2,3470,
15414,,Spot,2,Image 1,2,3472,
16703,,Spot,2,Image 1,2,3474,
17898,,Spot,2,Image 1,2,3475,
15799,,Spot,2,Image 1,2,3477,
20108,,Spot,2,Image 1,2,3479,
17859,,Spot,2,Image 1,2,3480,
20074,,Spot,2,Image 1,2,3481,
18553,,Spot,2,Image 1,2,3483,
18367,,Spot,2,Image 1,2,3484,
19169,,Spot,2,Image 1,2,3491,
16240,,Spot,2,Image 1,2,3492,
9204,,Spot,2,Image 1,2,3497,
13528,,Spot,2,Image 1,2,3499,
12980,,Spot,2,Image 1,2,3503,
14306,,Spot,2,Image 1,2,3510,
14628,,Spot,2,Image 1,2,3512,
15126,,Spot,2,Image 1,2,3517,
14808,,Spot,2,Image 1,2,3518,
14933,,Spot,2,Image 1,2,3521,
13802,,Spot,2,Image 1,2,3525,
13083,,Spot,2,Image 1,2,3527,
13521,,Spot,2,Image 1,2,3532,
12868,,Spot,2,Image 1,2,3536,
12520,,Spot,2,Image 1,2,3539,
14959,,Spot,2,Image 1,2,3563,
13095,,Spot,2,Image 1,2,3577,
12461,,Spot,2,Image 1,2,3588,
11870,,Spot,2,Image 1,2,3590,
12620,,Spot,2,Image 1,2,3591,
11811,,Spot,2,Image 1,2,3605,
11580,,Spot,2,Image 1,2,3608,
12263,,Spot,2,Image 1,2,3611,
13648,,Spot,2,Image 1,2,3612,
13720,,Spot,2,Image 1,2,3615,
12225,,Spot,2,Image 1,2,3618,
12262,,Spot,2,Image 1,2,3619,
11228,,Spot,2,Image 1,2,3620,
13004,,Spot,2,Image 1,2,3622,
12131,,Spot,2,Image 1,2,3633,
12855,,Spot,2,Image 1,2,3635,
11547,,Spot,2,Image 1,2,3636,
11962,,Spot,2,Image 1,2,3637,
12325,,Spot,2,Image 1,2,3675,
11697,,Spot,2,Image 1,2,3679,
11744,,Spot,2,Image 1,2,3686,
13705,,Spot,2,Image 1,2,3687,
23764,,Spot,2,Image 1,2,3688,
27682,,Spot,2,Image 1,2,3693,
28963,,Spot,2,Image 1,2,3696,
18625,,Spot,2,Image 1,2,3702,
39019,,Spot,2,Image 1,2,3729,
38409,,Spot,2,Image 1,2,3732,
15409,,Spot,2,Image 1,2,3748,
16420,,Spot,2,Image 1,2,3749,
15175,,Spot,2,Image 1,2,3758,
18516,,Spot,2,Image 1,2,3760,
18552,,Spot,2,Image 1,2,3763,
17044,,Spot,2,Image 1,2,3768,
16335,,Spot,2,Image 1,2,3771,
