
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
146.768,,Spot,4,Image 1,1,1870,
142.234,,Spot,4,Image 1,1,1871,
150.851,,Spot,4,Image 1,1,1893,
160.911,,Spot,4,Image 1,1,1896,
219.35,,Spot,4,Image 1,1,1898,
133.309,,Spot,4,Image 1,1,1902,
183.218,,Spot,4,Image 1,1,1914,
131.142,,Spot,4,Image 1,1,1915,
228.311,,Spot,4,Image 1,1,1920,
134.688,,Spot,4,Image 1,1,1929,
145.562,,Spot,4,Image 1,1,1936,
141.132,,Spot,4,Image 1,1,1938,
143.853,,Spot,4,Image 1,1,1941,
254.701,,Spot,4,Image 1,1,1943,
108.895,,Spot,4,Image 1,1,1945,
193.378,,Spot,4,Image 1,1,1947,
133.334,,Spot,4,Image 1,1,1948,
195.851,,Spot,4,Image 1,1,1952,
160.014,,Spot,4,Image 1,1,1954,
134.476,,Spot,4,Image 1,1,1956,
137.499,,Spot,4,Image 1,1,1957,
156.161,,Spot,4,Image 1,1,1963,
132.583,,Spot,4,Image 1,1,1974,
125.229,,Spot,4,Image 1,1,1976,
111.731,,Spot,4,Image 1,1,1983,
86.2702,,Spot,4,Image 1,1,1985,
116.434,,Spot,4,Image 1,1,1990,
151.824,,Spot,4,Image 1,1,2000,
186.222,,Spot,4,Image 1,1,2004,
167.454,,Spot,4,Image 1,1,2005,
113.215,,Spot,4,Image 1,1,2007,
152.12,,Spot,4,Image 1,1,2008,
230.974,,Spot,4,Image 1,1,2014,
189.21,,Spot,4,Image 1,1,2034,
192.313,,Spot,4,Image 1,1,2037,
142.15,,Spot,4,Image 1,1,2038,
214.187,,Spot,4,Image 1,1,2042,
150.864,,Spot,4,Image 1,1,2043,
171.992,,Spot,4,Image 1,1,2044,
247.364,,Spot,4,Image 1,1,2045,
158.976,,Spot,4,Image 1,1,2052,
165.955,,Spot,4,Image 1,1,2053,
170.567,,Spot,4,Image 1,1,2054,
170.646,,Spot,4,Image 1,1,2055,
206.229,,Spot,4,Image 1,1,2057,
212.413,,Spot,4,Image 1,1,2058,
165.714,,Spot,4,Image 1,1,2060,
177.494,,Spot,4,Image 1,1,2061,
295.423,,Spot,4,Image 1,1,2072,
222.943,,Spot,4,Image 1,1,2073,
110.096,,Spot,4,Image 1,1,2078,
200.64,,Spot,4,Image 1,1,2085,
231.748,,Spot,4,Image 1,1,2098,
132.859,,Spot,4,Image 1,1,2102,
192.506,,Spot,4,Image 1,1,2103,
99.6425,,Spot,4,Image 1,1,2148,
129.885,,Spot,4,Image 1,1,2177,
212.141,,Spot,4,Image 1,1,2189,
263.019,,Spot,4,Image 1,1,2191,
193.748,,Spot,4,Image 1,1,2193,
255.18,,Spot,4,Image 1,1,2194,
163.677,,Spot,4,Image 1,1,2196,
248.239,,Spot,4,Image 1,1,2197,
207.966,,Spot,4,Image 1,1,2198,
201.929,,Spot,4,Image 1,1,2199,
183.452,,Spot,4,Image 1,1,2200,
204.962,,Spot,4,Image 1,1,2201,
219.535,,Spot,4,Image 1,1,2203,
182.525,,Spot,4,Image 1,1,2211,
143.938,,Spot,4,Image 1,1,2212,
223.74,,Spot,4,Image 1,1,2230,
251.521,,Spot,4,Image 1,1,2261,
140.434,,Spot,4,Image 1,1,2266,
173.404,,Spot,4,Image 1,1,2273,
102.792,,Spot,4,Image 1,1,2457,
100.386,,Spot,4,Image 1,1,2458,
129.961,,Spot,4,Image 1,1,2471,
107.518,,Spot,4,Image 1,1,2552,
177.568,,Spot,4,Image 1,1,2661,
