
Average Distance To 5 Nearest Neighbours
 ==================== 
Average Distance To 5 Nearest Neighbours,Unit,Category,Time,ID,
32.3988,µm,Spot,3,5331,
36.5697,µm,Spot,3,5340,
44.7687,µm,Spot,3,5357,
46.3829,µm,Spot,3,5361,
43.7585,µm,Spot,3,5363,
52.5077,µm,Spot,3,5365,
37.343,µm,Spot,3,5398,
46.8296,µm,Spot,3,5407,
43.6715,µm,Spot,3,5424,
43.6063,µm,Spot,3,5435,
38.0205,µm,Spot,3,5438,
37.9681,µm,Spot,3,5448,
36.2534,µm,Spot,3,5459,
27.6769,µm,Spot,3,5484,
21.262,µm,Spot,3,5485,
37.7642,µm,Spot,3,5486,
39.3456,µm,Spot,3,5533,
38.7769,µm,Spot,3,5541,
34.7791,µm,Spot,3,5542,
34.1736,µm,Spot,3,5543,
31.12,µm,Spot,3,5558,
37.2065,µm,Spot,3,5559,
33.4144,µm,Spot,3,5560,
34.74,µm,Spot,3,5566,
37.5704,µm,Spot,3,5567,
31.367,µm,Spot,3,5568,
31.9046,µm,Spot,3,5571,
31.8694,µm,Spot,3,5577,
37.2447,µm,Spot,3,5582,
28.5891,µm,Spot,3,5595,
27.9835,µm,Spot,3,5600,
52.5928,µm,Spot,3,5637,
45.3501,µm,Spot,3,5642,
47.4709,µm,Spot,3,5643,
53.0473,µm,Spot,3,5651,
40.0464,µm,Spot,3,5665,
39.6852,µm,Spot,3,5676,
28.7931,µm,Spot,3,5703,
31.5109,µm,Spot,3,5706,
28.2322,µm,Spot,3,5715,
33.1913,µm,Spot,3,5722,
32.6902,µm,Spot,3,5723,
34.9681,µm,Spot,3,5725,
38.3598,µm,Spot,3,5727,
92.0891,µm,Spot,3,5733,
75.0025,µm,Spot,3,5748,
26.2529,µm,Spot,3,5765,
29.0538,µm,Spot,3,5767,
34.695,µm,Spot,3,5768,
23.547,µm,Spot,3,5773,
27.6216,µm,Spot,3,5775,
31.91,µm,Spot,3,5776,
26.7996,µm,Spot,3,5778,
35.4519,µm,Spot,3,5781,
28.7952,µm,Spot,3,5782,
24.1239,µm,Spot,3,5783,
22.5306,µm,Spot,3,5784,
34.4488,µm,Spot,3,5786,
27.901,µm,Spot,3,5788,
19.8881,µm,Spot,3,5791,
34.3374,µm,Spot,3,5795,
19.3006,µm,Spot,3,5798,
18.213,µm,Spot,3,5799,
25.045,µm,Spot,3,5802,
34.1129,µm,Spot,3,5804,
35.5402,µm,Spot,3,5808,
35.7168,µm,Spot,3,5824,
32.7984,µm,Spot,3,5828,
45.8551,µm,Spot,3,5829,
