
Shortest Distance to Spots Spots=Spots 1
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
54.5442,µm,Spot,Spots 1,1,1489,
32.8505,µm,Spot,Spots 1,1,1493,
38.0341,µm,Spot,Spots 1,1,1495,
65.151,µm,Spot,Spots 1,1,1496,
22.6782,µm,Spot,Spots 1,1,1506,
35.0432,µm,Spot,Spots 1,1,1508,
60.4819,µm,Spot,Spots 1,1,1509,
24.2366,µm,Spot,Spots 1,1,1513,
41.4852,µm,Spot,Spots 1,1,1534,
28.1338,µm,Spot,Spots 1,1,1537,
30.133,µm,Spot,Spots 1,1,1543,
19.1741,µm,Spot,Spots 1,1,1546,
35.6748,µm,Spot,Spots 1,1,1547,
30.6156,µm,Spot,Spots 1,1,1552,
36.7725,µm,Spot,Spots 1,1,1553,
20.5779,µm,Spot,Spots 1,1,1555,
20.0325,µm,Spot,Spots 1,1,1567,
18.3925,µm,Spot,Spots 1,1,1569,
18.7222,µm,Spot,Spots 1,1,1572,
26.0635,µm,Spot,Spots 1,1,1576,
15.9081,µm,Spot,Spots 1,1,1589,
14.8173,µm,Spot,Spots 1,1,1595,
9.31028,µm,Spot,Spots 1,1,1615,
12.7534,µm,Spot,Spots 1,1,1620,
16.3038,µm,Spot,Spots 1,1,1634,
14.5341,µm,Spot,Spots 1,1,1650,
29.9329,µm,Spot,Spots 1,1,1651,
25.5971,µm,Spot,Spots 1,1,1656,
36.522,µm,Spot,Spots 1,1,1657,
45.5982,µm,Spot,Spots 1,1,1662,
27.8669,µm,Spot,Spots 1,1,1665,
34.54,µm,Spot,Spots 1,1,1684,
23.0313,µm,Spot,Spots 1,1,1690,
22.1733,µm,Spot,Spots 1,1,1692,
15.9357,µm,Spot,Spots 1,1,1694,
21.0212,µm,Spot,Spots 1,1,1695,
23.0994,µm,Spot,Spots 1,1,1697,
19.4423,µm,Spot,Spots 1,1,1699,
21.9378,µm,Spot,Spots 1,1,1700,
8.87409,µm,Spot,Spots 1,1,1706,
20.2879,µm,Spot,Spots 1,1,1710,
16.144,µm,Spot,Spots 1,1,1721,
13.41,µm,Spot,Spots 1,1,1725,
18.5912,µm,Spot,Spots 1,1,1726,
8.28614,µm,Spot,Spots 1,1,1732,
8.43715,µm,Spot,Spots 1,1,1752,
22.7855,µm,Spot,Spots 1,1,1768,
11.098,µm,Spot,Spots 1,1,1769,
13.1965,µm,Spot,Spots 1,1,1775,
23.2396,µm,Spot,Spots 1,1,1788,
91.3691,µm,Spot,Spots 1,1,1815,
88.7114,µm,Spot,Spots 1,1,1818,
95.3416,µm,Spot,Spots 1,1,1824,
80.1096,µm,Spot,Spots 1,1,1825,
30.4117,µm,Spot,Spots 1,1,1837,
40.8181,µm,Spot,Spots 1,1,1844,
14.8011,µm,Spot,Spots 1,1,1845,
15.424,µm,Spot,Spots 1,1,1851,
24.4045,µm,Spot,Spots 1,1,1857,
67.128,µm,Spot,Spots 1,1,1858,
53.6569,µm,Spot,Spots 1,1,1864,
10.8646,µm,Spot,Spots 1,1,1865,
30.5743,µm,Spot,Spots 1,1,1870,
11.6647,µm,Spot,Spots 1,1,1871,
20.7965,µm,Spot,Spots 1,1,1893,
97.0203,µm,Spot,Spots 1,1,1896,
67.1542,µm,Spot,Spots 1,1,1898,
92.3978,µm,Spot,Spots 1,1,1902,
10.8889,µm,Spot,Spots 1,1,1914,
87.3274,µm,Spot,Spots 1,1,1915,
54.1699,µm,Spot,Spots 1,1,1920,
59.1217,µm,Spot,Spots 1,1,1929,
88.114,µm,Spot,Spots 1,1,1936,
78.7218,µm,Spot,Spots 1,1,1938,
52.8599,µm,Spot,Spots 1,1,1941,
70.7385,µm,Spot,Spots 1,1,1943,
27.7382,µm,Spot,Spots 1,1,1945,
35.7268,µm,Spot,Spots 1,1,1947,
78.1088,µm,Spot,Spots 1,1,1948,
90.1056,µm,Spot,Spots 1,1,1952,
63.609,µm,Spot,Spots 1,1,1954,
41.8012,µm,Spot,Spots 1,1,1956,
95.6762,µm,Spot,Spots 1,1,1957,
20.5592,µm,Spot,Spots 1,1,1963,
34.0182,µm,Spot,Spots 1,1,1974,
97.3905,µm,Spot,Spots 1,1,1976,
74.2601,µm,Spot,Spots 1,1,1983,
105.201,µm,Spot,Spots 1,1,1985,
89.4989,µm,Spot,Spots 1,1,1990,
85.9239,µm,Spot,Spots 1,1,2000,
139.574,µm,Spot,Spots 1,1,2004,
100.405,µm,Spot,Spots 1,1,2005,
46.9849,µm,Spot,Spots 1,1,2007,
22.0891,µm,Spot,Spots 1,1,2008,
134.384,µm,Spot,Spots 1,1,2014,
22.6621,µm,Spot,Spots 1,1,2034,
37.4284,µm,Spot,Spots 1,1,2037,
20.822,µm,Spot,Spots 1,1,2038,
28.7183,µm,Spot,Spots 1,1,2042,
15.7883,µm,Spot,Spots 1,1,2043,
24.492,µm,Spot,Spots 1,1,2044,
25.4103,µm,Spot,Spots 1,1,2045,
24.0225,µm,Spot,Spots 1,1,2052,
25.5044,µm,Spot,Spots 1,1,2053,
32.5569,µm,Spot,Spots 1,1,2054,
14.5507,µm,Spot,Spots 1,1,2055,
15.613,µm,Spot,Spots 1,1,2057,
7.6861,µm,Spot,Spots 1,1,2058,
13.7963,µm,Spot,Spots 1,1,2060,
31.627,µm,Spot,Spots 1,1,2061,
29.4012,µm,Spot,Spots 1,1,2072,
22.9039,µm,Spot,Spots 1,1,2073,
27.2724,µm,Spot,Spots 1,1,2078,
41.3024,µm,Spot,Spots 1,1,2085,
22.0749,µm,Spot,Spots 1,1,2098,
31.624,µm,Spot,Spots 1,1,2102,
22.9787,µm,Spot,Spots 1,1,2103,
51.785,µm,Spot,Spots 1,1,2148,
30.8988,µm,Spot,Spots 1,1,2177,
11.4564,µm,Spot,Spots 1,1,2189,
24.7043,µm,Spot,Spots 1,1,2191,
17.4518,µm,Spot,Spots 1,1,2193,
14.3187,µm,Spot,Spots 1,1,2194,
22.1787,µm,Spot,Spots 1,1,2196,
20.4526,µm,Spot,Spots 1,1,2197,
14.6479,µm,Spot,Spots 1,1,2198,
21.2408,µm,Spot,Spots 1,1,2199,
17.6408,µm,Spot,Spots 1,1,2200,
20.1484,µm,Spot,Spots 1,1,2201,
25.1956,µm,Spot,Spots 1,1,2203,
10.6949,µm,Spot,Spots 1,1,2211,
25.8424,µm,Spot,Spots 1,1,2212,
19.4589,µm,Spot,Spots 1,1,2230,
11.6931,µm,Spot,Spots 1,1,2261,
20.1079,µm,Spot,Spots 1,1,2266,
18.0756,µm,Spot,Spots 1,1,2273,
97.7392,µm,Spot,Spots 1,1,2457,
32.2375,µm,Spot,Spots 1,1,2458,
90.3299,µm,Spot,Spots 1,1,2471,
43.1803,µm,Spot,Spots 1,1,2552,
140.713,µm,Spot,Spots 1,1,2661,
49.043,µm,Spot,Spots 1,2,2937,
51.6263,µm,Spot,Spots 1,2,2938,
81.8035,µm,Spot,Spots 1,2,2939,
71.2408,µm,Spot,Spots 1,2,2971,
89.5716,µm,Spot,Spots 1,2,3016,
76.8038,µm,Spot,Spots 1,2,3018,
143.556,µm,Spot,Spots 1,2,3045,
163.204,µm,Spot,Spots 1,2,3046,
100.915,µm,Spot,Spots 1,2,3056,
114.501,µm,Spot,Spots 1,2,3065,
42.781,µm,Spot,Spots 1,2,3101,
42.455,µm,Spot,Spots 1,2,3127,
18.426,µm,Spot,Spots 1,2,3132,
27.9699,µm,Spot,Spots 1,2,3135,
23.6113,µm,Spot,Spots 1,2,3140,
40.5141,µm,Spot,Spots 1,2,3144,
61.5959,µm,Spot,Spots 1,2,3150,
81.0607,µm,Spot,Spots 1,2,3154,
57.8152,µm,Spot,Spots 1,2,3160,
42.2825,µm,Spot,Spots 1,2,3175,
46.8938,µm,Spot,Spots 1,2,3176,
45.1115,µm,Spot,Spots 1,2,3177,
42.5764,µm,Spot,Spots 1,2,3184,
54.8688,µm,Spot,Spots 1,2,3185,
57.6944,µm,Spot,Spots 1,2,3187,
62.5629,µm,Spot,Spots 1,2,3213,
63.9454,µm,Spot,Spots 1,2,3220,
47.0264,µm,Spot,Spots 1,2,3235,
39.191,µm,Spot,Spots 1,2,3242,
52.0088,µm,Spot,Spots 1,2,3243,
57.5111,µm,Spot,Spots 1,2,3244,
42.2992,µm,Spot,Spots 1,2,3245,
37.723,µm,Spot,Spots 1,2,3248,
45.0148,µm,Spot,Spots 1,2,3250,
41.2859,µm,Spot,Spots 1,2,3262,
34.7434,µm,Spot,Spots 1,2,3264,
41.8556,µm,Spot,Spots 1,2,3265,
40.8079,µm,Spot,Spots 1,2,3279,
42.245,µm,Spot,Spots 1,2,3280,
32.1764,µm,Spot,Spots 1,2,3295,
38.6736,µm,Spot,Spots 1,2,3329,
26.2023,µm,Spot,Spots 1,2,3330,
25.5978,µm,Spot,Spots 1,2,3334,
33.968,µm,Spot,Spots 1,2,3339,
25.9424,µm,Spot,Spots 1,2,3340,
10.9214,µm,Spot,Spots 1,2,3350,
12.614,µm,Spot,Spots 1,2,3358,
10.9386,µm,Spot,Spots 1,2,3359,
33.0359,µm,Spot,Spots 1,2,3376,
34.7288,µm,Spot,Spots 1,2,3402,
30.2133,µm,Spot,Spots 1,2,3412,
17.9682,µm,Spot,Spots 1,2,3414,
10.8837,µm,Spot,Spots 1,2,3415,
21.652,µm,Spot,Spots 1,2,3419,
12.078,µm,Spot,Spots 1,2,3420,
39.8915,µm,Spot,Spots 1,2,3425,
104.952,µm,Spot,Spots 1,2,3434,
57.1104,µm,Spot,Spots 1,2,3446,
45.8836,µm,Spot,Spots 1,2,3451,
42.381,µm,Spot,Spots 1,2,3467,
44.8828,µm,Spot,Spots 1,2,3469,
44.9766,µm,Spot,Spots 1,2,3470,
39.9871,µm,Spot,Spots 1,2,3472,
34.6652,µm,Spot,Spots 1,2,3474,
47.5886,µm,Spot,Spots 1,2,3475,
31.6418,µm,Spot,Spots 1,2,3477,
39.1351,µm,Spot,Spots 1,2,3479,
45.9912,µm,Spot,Spots 1,2,3480,
43.2043,µm,Spot,Spots 1,2,3481,
32.0842,µm,Spot,Spots 1,2,3483,
31.3383,µm,Spot,Spots 1,2,3484,
32.6943,µm,Spot,Spots 1,2,3491,
30.7637,µm,Spot,Spots 1,2,3492,
33.4273,µm,Spot,Spots 1,2,3497,
32.1052,µm,Spot,Spots 1,2,3499,
33.1474,µm,Spot,Spots 1,2,3503,
33.694,µm,Spot,Spots 1,2,3510,
36.2874,µm,Spot,Spots 1,2,3512,
21.8517,µm,Spot,Spots 1,2,3517,
11.3802,µm,Spot,Spots 1,2,3518,
27.1888,µm,Spot,Spots 1,2,3521,
17.6882,µm,Spot,Spots 1,2,3525,
18.7515,µm,Spot,Spots 1,2,3527,
10.8712,µm,Spot,Spots 1,2,3532,
14.0811,µm,Spot,Spots 1,2,3536,
16.3141,µm,Spot,Spots 1,2,3539,
24.3871,µm,Spot,Spots 1,2,3563,
14.2538,µm,Spot,Spots 1,2,3577,
13.0087,µm,Spot,Spots 1,2,3588,
11.5173,µm,Spot,Spots 1,2,3590,
14.6791,µm,Spot,Spots 1,2,3591,
29.1004,µm,Spot,Spots 1,2,3605,
10.3829,µm,Spot,Spots 1,2,3608,
40.2896,µm,Spot,Spots 1,2,3611,
48.8248,µm,Spot,Spots 1,2,3612,
24.6279,µm,Spot,Spots 1,2,3615,
11.8998,µm,Spot,Spots 1,2,3618,
13.8943,µm,Spot,Spots 1,2,3619,
29.4177,µm,Spot,Spots 1,2,3620,
28.3901,µm,Spot,Spots 1,2,3622,
22.034,µm,Spot,Spots 1,2,3633,
13.211,µm,Spot,Spots 1,2,3635,
14.8031,µm,Spot,Spots 1,2,3636,
43.2637,µm,Spot,Spots 1,2,3637,
28.5402,µm,Spot,Spots 1,2,3675,
32.4361,µm,Spot,Spots 1,2,3679,
19.5595,µm,Spot,Spots 1,2,3686,
88.8864,µm,Spot,Spots 1,2,3687,
79.7905,µm,Spot,Spots 1,2,3688,
57.031,µm,Spot,Spots 1,2,3693,
52.0783,µm,Spot,Spots 1,2,3696,
44.1464,µm,Spot,Spots 1,2,3702,
82.5859,µm,Spot,Spots 1,2,3729,
65.4127,µm,Spot,Spots 1,2,3732,
38.5108,µm,Spot,Spots 1,2,3748,
61.8819,µm,Spot,Spots 1,2,3749,
44.7319,µm,Spot,Spots 1,2,3758,
89.6286,µm,Spot,Spots 1,2,3760,
31.161,µm,Spot,Spots 1,2,3763,
22.7608,µm,Spot,Spots 1,2,3768,
39.4468,µm,Spot,Spots 1,2,3771,
35.078,µm,Spot,Spots 1,2,3776,
108.289,µm,Spot,Spots 1,2,3778,
97.107,µm,Spot,Spots 1,2,3783,
81.8666,µm,Spot,Spots 1,2,3787,
63.8814,µm,Spot,Spots 1,2,3802,
69.9868,µm,Spot,Spots 1,2,3805,
71.6608,µm,Spot,Spots 1,2,3809,
47.7828,µm,Spot,Spots 1,2,3812,
72.0365,µm,Spot,Spots 1,2,3813,
