
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.05016e+06,,Spot,1,Image 1,1,1508,
1.38319e+06,,Spot,1,Image 1,1,1509,
1.08082e+06,,Spot,1,Image 1,1,1513,
4.79612e+06,,Spot,1,Image 1,1,1534,
2.1061e+06,,Spot,1,Image 1,1,1537,
2.02617e+06,,Spot,1,Image 1,1,1543,
2.13174e+06,,Spot,1,Image 1,1,1546,
1.4896e+06,,Spot,1,Image 1,1,1547,
1.50234e+06,,Spot,1,Image 1,1,1552,
1.59277e+06,,Spot,1,Image 1,1,1553,
1.8023e+06,,Spot,1,Image 1,1,1555,
3.08515e+06,,Spot,1,Image 1,1,1567,
1.99665e+06,,Spot,1,Image 1,1,1569,
1.31213e+06,,Spot,1,Image 1,1,1572,
2.21059e+06,,Spot,1,Image 1,1,1576,
3.99841e+06,,Spot,1,Image 1,1,1589,
1.51031e+06,,Spot,1,Image 1,1,1595,
1.83895e+06,,Spot,1,Image 1,1,1615,
1.50929e+06,,Spot,1,Image 1,1,1620,
899963,,Spot,1,Image 1,1,1634,
1.28633e+06,,Spot,1,Image 1,1,1650,
1.15367e+06,,Spot,1,Image 1,1,1651,
830461,,Spot,1,Image 1,1,1656,
915817,,Spot,1,Image 1,1,1657,
1.25033e+06,,Spot,1,Image 1,1,1662,
1.03875e+06,,Spot,1,Image 1,1,1665,
2.24364e+06,,Spot,1,Image 1,1,1684,
2.41499e+06,,Spot,1,Image 1,1,1690,
3.70479e+06,,Spot,1,Image 1,1,1692,
3.36173e+06,,Spot,1,Image 1,1,1694,
1.44752e+06,,Spot,1,Image 1,1,1695,
3.29092e+06,,Spot,1,Image 1,1,1697,
1.40303e+06,,Spot,1,Image 1,1,1699,
1.94612e+06,,Spot,1,Image 1,1,1700,
1.16756e+07,,Spot,1,Image 1,1,1706,
2.04204e+06,,Spot,1,Image 1,1,1710,
1.89655e+06,,Spot,1,Image 1,1,1721,
1.51683e+06,,Spot,1,Image 1,1,1725,
1.90385e+06,,Spot,1,Image 1,1,1726,
6.06706e+06,,Spot,1,Image 1,1,1732,
1.67517e+07,,Spot,1,Image 1,1,1752,
985636,,Spot,1,Image 1,1,1768,
1.5802e+06,,Spot,1,Image 1,1,1769,
1.38686e+06,,Spot,1,Image 1,1,1775,
1.02682e+06,,Spot,1,Image 1,1,1788,
1.36972e+06,,Spot,1,Image 1,1,1815,
1.21137e+06,,Spot,1,Image 1,1,1818,
972024,,Spot,1,Image 1,1,1824,
657758,,Spot,1,Image 1,1,1825,
1.10906e+06,,Spot,1,Image 1,1,1837,
1.53161e+06,,Spot,1,Image 1,1,1844,
1.24281e+06,,Spot,1,Image 1,1,1845,
1.62025e+06,,Spot,1,Image 1,1,1851,
1.13972e+06,,Spot,1,Image 1,1,1857,
690269,,Spot,1,Image 1,1,1858,
812371,,Spot,1,Image 1,1,1864,
1.82278e+06,,Spot,1,Image 1,1,1865,
833859,,Spot,1,Image 1,1,1870,
1.06571e+06,,Spot,1,Image 1,1,1871,
1.08348e+06,,Spot,1,Image 1,1,1893,
1.1427e+06,,Spot,1,Image 1,1,1896,
1.28985e+06,,Spot,1,Image 1,1,1898,
1.18356e+06,,Spot,1,Image 1,1,1902,
959464,,Spot,1,Image 1,1,1914,
891828,,Spot,1,Image 1,1,1915,
946762,,Spot,1,Image 1,1,1920,
890632,,Spot,1,Image 1,1,1929,
1.19481e+06,,Spot,1,Image 1,1,1936,
958485,,Spot,1,Image 1,1,1938,
1.0962e+06,,Spot,1,Image 1,1,1941,
1.36181e+06,,Spot,1,Image 1,1,1943,
846198,,Spot,1,Image 1,1,1945,
807026,,Spot,1,Image 1,1,1947,
880985,,Spot,1,Image 1,1,1948,
915022,,Spot,1,Image 1,1,1952,
940808,,Spot,1,Image 1,1,1954,
881719,,Spot,1,Image 1,1,1956,
518127,,Spot,1,Image 1,1,1957,
801114,,Spot,1,Image 1,1,1963,
697308,,Spot,1,Image 1,1,1974,
847846,,Spot,1,Image 1,1,1976,
882422,,Spot,1,Image 1,1,1983,
481630,,Spot,1,Image 1,1,1985,
765547,,Spot,1,Image 1,1,1990,
804838,,Spot,1,Image 1,1,2000,
1.07654e+06,,Spot,1,Image 1,1,2004,
1.10232e+06,,Spot,1,Image 1,1,2005,
686974,,Spot,1,Image 1,1,2007,
985066,,Spot,1,Image 1,1,2008,
1.23109e+06,,Spot,1,Image 1,1,2014,
1.56613e+06,,Spot,1,Image 1,1,2034,
1.43318e+06,,Spot,1,Image 1,1,2037,
1.43884e+06,,Spot,1,Image 1,1,2038,
1.40688e+06,,Spot,1,Image 1,1,2042,
1.94894e+06,,Spot,1,Image 1,1,2043,
1.52177e+06,,Spot,1,Image 1,1,2044,
2.32371e+06,,Spot,1,Image 1,1,2045,
1.15223e+06,,Spot,1,Image 1,1,2052,
891761,,Spot,1,Image 1,1,2053,
1.06743e+06,,Spot,1,Image 1,1,2054,
1.18612e+06,,Spot,1,Image 1,1,2055,
1.06969e+06,,Spot,1,Image 1,1,2057,
2.11747e+07,,Spot,1,Image 1,1,2058,
1.01241e+06,,Spot,1,Image 1,1,2060,
944374,,Spot,1,Image 1,1,2061,
1.50356e+06,,Spot,1,Image 1,1,2072,
1.51134e+06,,Spot,1,Image 1,1,2073,
861808,,Spot,1,Image 1,1,2078,
1.51532e+06,,Spot,1,Image 1,1,2085,
678740,,Spot,1,Image 1,1,2098,
1.03984e+06,,Spot,1,Image 1,1,2102,
1.08274e+06,,Spot,1,Image 1,1,2103,
795526,,Spot,1,Image 1,1,2148,
683223,,Spot,1,Image 1,1,2177,
2.74153e+06,,Spot,1,Image 1,1,2189,
2.82589e+06,,Spot,1,Image 1,1,2191,
4.28094e+06,,Spot,1,Image 1,1,2193,
2.41117e+06,,Spot,1,Image 1,1,2194,
1.0704e+06,,Spot,1,Image 1,1,2196,
3.09707e+06,,Spot,1,Image 1,1,2197,
1.38226e+06,,Spot,1,Image 1,1,2198,
3.18214e+06,,Spot,1,Image 1,1,2199,
2.01518e+06,,Spot,1,Image 1,1,2200,
1.85456e+06,,Spot,1,Image 1,1,2201,
1.45838e+06,,Spot,1,Image 1,1,2203,
4.78657e+06,,Spot,1,Image 1,1,2211,
1.00905e+06,,Spot,1,Image 1,1,2212,
1.26254e+06,,Spot,1,Image 1,1,2230,
3.97659e+06,,Spot,1,Image 1,1,2261,
1.28545e+06,,Spot,1,Image 1,1,2266,
2.33204e+06,,Spot,1,Image 1,1,2273,
731071,,Spot,1,Image 1,1,2457,
710043,,Spot,1,Image 1,1,2458,
794691,,Spot,1,Image 1,1,2471,
775991,,Spot,1,Image 1,1,2552,
543243,,Spot,1,Image 1,1,2661,
2.39351e+06,,Spot,1,Image 1,2,2937,
2.15129e+06,,Spot,1,Image 1,2,2938,
2.06314e+06,,Spot,1,Image 1,2,2939,
2.14704e+06,,Spot,1,Image 1,2,2971,
1.40906e+06,,Spot,1,Image 1,2,3016,
1.4053e+06,,Spot,1,Image 1,2,3018,
1.22681e+06,,Spot,1,Image 1,2,3045,
934400,,Spot,1,Image 1,2,3046,
824527,,Spot,1,Image 1,2,3056,
769343,,Spot,1,Image 1,2,3065,
1.50071e+06,,Spot,1,Image 1,2,3101,
1.42897e+06,,Spot,1,Image 1,2,3127,
711719,,Spot,1,Image 1,2,3132,
1.28032e+06,,Spot,1,Image 1,2,3135,
758592,,Spot,1,Image 1,2,3140,
1.1706e+06,,Spot,1,Image 1,2,3144,
839212,,Spot,1,Image 1,2,3150,
1.45026e+06,,Spot,1,Image 1,2,3154,
914051,,Spot,1,Image 1,2,3160,
914570,,Spot,1,Image 1,2,3175,
727741,,Spot,1,Image 1,2,3176,
770655,,Spot,1,Image 1,2,3177,
724483,,Spot,1,Image 1,2,3184,
875157,,Spot,1,Image 1,2,3185,
653610,,Spot,1,Image 1,2,3187,
734810,,Spot,1,Image 1,2,3213,
719822,,Spot,1,Image 1,2,3220,
1.39502e+06,,Spot,1,Image 1,2,3235,
1.5057e+06,,Spot,1,Image 1,2,3242,
2.19598e+06,,Spot,1,Image 1,2,3243,
3.35854e+06,,Spot,1,Image 1,2,3244,
1.90047e+06,,Spot,1,Image 1,2,3245,
1.55826e+06,,Spot,1,Image 1,2,3248,
2.89798e+06,,Spot,1,Image 1,2,3250,
2.40559e+06,,Spot,1,Image 1,2,3262,
1.62232e+06,,Spot,1,Image 1,2,3264,
2.49253e+06,,Spot,1,Image 1,2,3265,
2.06284e+06,,Spot,1,Image 1,2,3279,
1.51121e+06,,Spot,1,Image 1,2,3280,
2.28532e+06,,Spot,1,Image 1,2,3295,
2.29768e+06,,Spot,1,Image 1,2,3329,
891194,,Spot,1,Image 1,2,3330,
1.62652e+06,,Spot,1,Image 1,2,3334,
862308,,Spot,1,Image 1,2,3339,
1.57222e+06,,Spot,1,Image 1,2,3340,
1.21785e+06,,Spot,1,Image 1,2,3350,
950330,,Spot,1,Image 1,2,3358,
1.2148e+06,,Spot,1,Image 1,2,3359,
957768,,Spot,1,Image 1,2,3376,
1.12302e+06,,Spot,1,Image 1,2,3402,
688133,,Spot,1,Image 1,2,3412,
922008,,Spot,1,Image 1,2,3414,
1.30368e+06,,Spot,1,Image 1,2,3415,
1.75164e+06,,Spot,1,Image 1,2,3419,
1.04435e+06,,Spot,1,Image 1,2,3420,
896594,,Spot,1,Image 1,2,3425,
726140,,Spot,1,Image 1,2,3434,
742935,,Spot,1,Image 1,2,3446,
767006,,Spot,1,Image 1,2,3451,
1.72339e+06,,Spot,1,Image 1,2,3467,
1.0845e+06,,Spot,1,Image 1,2,3469,
1.26518e+06,,Spot,1,Image 1,2,3470,
1.68252e+06,,Spot,1,Image 1,2,3472,
1.86878e+06,,Spot,1,Image 1,2,3474,
1.66424e+06,,Spot,1,Image 1,2,3475,
1.74872e+06,,Spot,1,Image 1,2,3477,
1.61946e+06,,Spot,1,Image 1,2,3479,
2.28252e+06,,Spot,1,Image 1,2,3480,
2.23613e+06,,Spot,1,Image 1,2,3481,
4.20396e+06,,Spot,1,Image 1,2,3483,
1.80271e+06,,Spot,1,Image 1,2,3484,
2.16103e+06,,Spot,1,Image 1,2,3491,
1.47689e+06,,Spot,1,Image 1,2,3492,
858424,,Spot,1,Image 1,2,3497,
713247,,Spot,1,Image 1,2,3499,
1.40184e+06,,Spot,1,Image 1,2,3503,
1.88211e+06,,Spot,1,Image 1,2,3510,
2.25289e+06,,Spot,1,Image 1,2,3512,
1.05584e+06,,Spot,1,Image 1,2,3517,
2.45429e+06,,Spot,1,Image 1,2,3518,
1.19364e+06,,Spot,1,Image 1,2,3521,
1.60184e+06,,Spot,1,Image 1,2,3525,
1.23291e+06,,Spot,1,Image 1,2,3527,
4.33987e+06,,Spot,1,Image 1,2,3532,
1.05399e+06,,Spot,1,Image 1,2,3536,
2.18457e+06,,Spot,1,Image 1,2,3539,
1.278e+06,,Spot,1,Image 1,2,3563,
729119,,Spot,1,Image 1,2,3577,
2.8781e+06,,Spot,1,Image 1,2,3588,
756146,,Spot,1,Image 1,2,3590,
597496,,Spot,1,Image 1,2,3591,
565832,,Spot,1,Image 1,2,3605,
1.64695e+06,,Spot,1,Image 1,2,3608,
793687,,Spot,1,Image 1,2,3611,
1.14274e+06,,Spot,1,Image 1,2,3612,
1.01492e+06,,Spot,1,Image 1,2,3615,
1.02782e+06,,Spot,1,Image 1,2,3618,
909153,,Spot,1,Image 1,2,3619,
787123,,Spot,1,Image 1,2,3620,
701895,,Spot,1,Image 1,2,3622,
875849,,Spot,1,Image 1,2,3633,
884113,,Spot,1,Image 1,2,3635,
636688,,Spot,1,Image 1,2,3636,
753569,,Spot,1,Image 1,2,3637,
734106,,Spot,1,Image 1,2,3675,
562785,,Spot,1,Image 1,2,3679,
690857,,Spot,1,Image 1,2,3686,
1.41177e+06,,Spot,1,Image 1,2,3687,
2.04407e+06,,Spot,1,Image 1,2,3688,
2.63255e+06,,Spot,1,Image 1,2,3693,
1.91122e+06,,Spot,1,Image 1,2,3696,
1.13969e+06,,Spot,1,Image 1,2,3702,
3.81394e+06,,Spot,1,Image 1,2,3729,
2.7538e+06,,Spot,1,Image 1,2,3732,
1.18331e+06,,Spot,1,Image 1,2,3748,
1.17475e+06,,Spot,1,Image 1,2,3749,
1.3282e+06,,Spot,1,Image 1,2,3758,
1.64056e+06,,Spot,1,Image 1,2,3760,
1.49307e+06,,Spot,1,Image 1,2,3763,
1.04218e+06,,Spot,1,Image 1,2,3768,
1.0567e+06,,Spot,1,Image 1,2,3771,
1.28515e+06,,Spot,1,Image 1,2,3776,
1.17395e+06,,Spot,1,Image 1,2,3778,
1.45942e+06,,Spot,1,Image 1,2,3783,
1.18035e+06,,Spot,1,Image 1,2,3787,
1.01764e+06,,Spot,1,Image 1,2,3802,
826888,,Spot,1,Image 1,2,3805,
933595,,Spot,1,Image 1,2,3809,
785168,,Spot,1,Image 1,2,3812,
720179,,Spot,1,Image 1,2,3813,
824834,,Spot,1,Image 1,2,3815,
658278,,Spot,1,Image 1,2,3818,
1.22134e+06,,Spot,1,Image 1,2,3822,
1.03908e+06,,Spot,1,Image 1,2,3823,
933240,,Spot,1,Image 1,2,3825,
1.48151e+06,,Spot,1,Image 1,2,3829,
979276,,Spot,1,Image 1,2,3837,
954110,,Spot,1,Image 1,2,3840,
1.53443e+06,,Spot,1,Image 1,2,3841,
1.51198e+06,,Spot,1,Image 1,2,3842,
786054,,Spot,1,Image 1,2,3843,
537589,,Spot,1,Image 1,2,3849,
915994,,Spot,1,Image 1,2,3854,
777962,,Spot,1,Image 1,2,3855,
640704,,Spot,1,Image 1,2,3858,
1.01061e+06,,Spot,1,Image 1,2,3859,
697429,,Spot,1,Image 1,2,3863,
900067,,Spot,1,Image 1,2,3867,
696697,,Spot,1,Image 1,2,3868,
921630,,Spot,1,Image 1,2,3869,
853903,,Spot,1,Image 1,2,3873,
711799,,Spot,1,Image 1,2,3874,
806791,,Spot,1,Image 1,2,3876,
658528,,Spot,1,Image 1,2,3887,
542353,,Spot,1,Image 1,2,3900,
641541,,Spot,1,Image 1,2,3904,
657666,,Spot,1,Image 1,2,3919,
2.46828e+06,,Spot,1,Image 1,2,3925,
1.81574e+06,,Spot,1,Image 1,2,3934,
3.14714e+06,,Spot,1,Image 1,2,3942,
1.47916e+06,,Spot,1,Image 1,2,3943,
805263,,Spot,1,Image 1,2,3948,
1.17695e+06,,Spot,1,Image 1,2,3955,
1.05532e+06,,Spot,1,Image 1,2,3956,
1.05824e+06,,Spot,1,Image 1,2,3957,
1.26712e+06,,Spot,1,Image 1,2,3959,
